
Active Connections

  Proto  Local Address          Foreign Address        State
  TCP    10.21.251.1:51231      a23-73-36-142.deploy.static.akamaitechnologies.com:https  ESTABLISHED
  TCP    10.21.251.1:51238      probe-silver.atl.expertcity.com:https  TIME_WAIT
  TCP    10.21.251.1:51239      216-219-112-250.expertcity.com:https  TIME_WAIT
  TCP    10.21.251.1:51240      54-208-199-64.ava.expertcity.com:https  TIME_WAIT
  TCP    10.21.251.1:51241      54-208-199-64.ava.expertcity.com:https  TIME_WAIT
  TCP    10.21.251.1:51242      probe-silver.atl.expertcity.com:https  TIME_WAIT
  TCP    10.21.251.1:51243      216-219-112-250.expertcity.com:https  TIME_WAIT
  TCP    10.21.251.1:51245      54-208-199-64.ava.expertcity.com:https  TIME_WAIT
  TCP    10.21.251.1:51246      probe-silver.atl.expertcity.com:https  TIME_WAIT
  TCP    10.21.251.1:51247      216-219-112-250.expertcity.com:https  TIME_WAIT
  TCP    10.21.251.1:51248      54-208-199-64.ava.expertcity.com:https  TIME_WAIT
  TCP    10.21.251.1:51249      probe-silver.atl.expertcity.com:https  TIME_WAIT
  TCP    10.21.251.1:51250      216-219-112-250.expertcity.com:https  TIME_WAIT
  TCP    10.21.251.1:51251      54-208-199-64.ava.expertcity.com:https  TIME_WAIT
  TCP    10.21.251.1:51252      probe-silver.atl.expertcity.com:https  TIME_WAIT
  TCP    10.21.251.1:51253      216-219-112-250.expertcity.com:https  TIME_WAIT
  TCP    10.21.251.1:51254      64.4.54.254:https      ESTABLISHED
  TCP    10.21.251.1:51264      ld020999.healthbc.org:netbios-ssn  TIME_WAIT
  TCP    10.21.251.1:51265      ld020999.healthbc.org:netbios-ssn  TIME_WAIT
  TCP    10.21.251.1:52310      stdbdecsup01.vch.ca:ms-sql-s  ESTABLISHED
  TCP    10.21.251.1:52333      stdbdecsup01.vch.ca:ms-sql-s  ESTABLISHED
  TCP    10.21.251.1:52401      vchdc1.vch.ca:1025     ESTABLISHED
  TCP    10.21.251.1:52403      10.251.216.37:29941    ESTABLISHED
  TCP    10.21.251.1:52456      pf-in-f188.1e100.net:https  ESTABLISHED
  TCP    10.21.251.1:62222      vchocsfep1.vch.ca:5061  ESTABLISHED
  TCP    10.21.251.1:62805      142.71.81.5:microsoft-ds  ESTABLISHED
  TCP    10.21.251.1:62863      spdc0009.healthbc.org:microsoft-ds  ESTABLISHED
